ID,Program category,University,Program,Degree,Major/Specialization,Academic or Professional,School/Department/College,Program link,Contact information,Description,Length,Career,Faculty,Enrolling semester,Application deadline,Application fee,Application material,Required tests,English requirement,Application review procedures,Admission decision timeline,Acceptance rate,Attendance rate of admitted students,# of students enroll per year,% of International students,% of Chinese students,Average GPA,Average/Desirable GRE,Undergraduate institutions represented by Chinese students,Tuition & fees,Books & Supplies,Living cost,Scholarships & Financial aid,Year of Founded,Public/Private,Enrollment,Location,Setting
11,Communication,Boston University,Advertising,M.S. ,Advertising/PR,Professional,Colleger of Communication,http://www.bu.edu/com/academics/masscomm-ad-pr/advertising/graduate/,comgrad@bu.edu,"侧重于广告行业实践，同时也融合对广告行业的理解，以及传播在现代社会中的作用。课程内容包括设计广告传播方案以及相关研究技能。多数毕业生在广告公司、媒体公司以及以他Marketing Communication 类的公司工作；也有学生由此进入PhD阶段的学习。BU 拥有全美最大的学生运作的“广告公司”- AdLab,学生可获取大量实践经验。",1.5 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Communication Experience,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,20 to 25,30.0%,,3.3,"Verbal-158,Quantitative-154",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
12,Communication,Boston University,Public Relations,M.S. ,Advertising/PR,Professional,Colleger of Communication,http://www.bu.edu/com/academics/masscomm-ad-pr/public-relations/graduate/,comgrad@bu.edu,"侧重于实践应用的PR项目。学生不仅学习现代公关、人际传播以及媒体的作用，还会选择一个领域深入学习。课程既包括实践应用，也包括理论和研究的学习。学生会在公关写作方面得到强化训练，并可从而从事商业、政府、以及非盈利组织行业的公关工作。BU 拥有全美最具历史的“公关公司”- PRLab,学生可通过参与体验公关公司的各类工作角色。",1.5 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Communication Experience,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,20 to 25,30.0%,,3.3,"Verbal-158,Quantitative-156",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
13,Communication,Boston University,Communication Studies,M.S. ,Communication Studies,Academic/Professional,Colleger of Communication,http://www.bu.edu/com/academics/masscomm-ad-pr/communication-studies/graduate/,"Manny Dotel
Graduate Services, Administrator, mdotel10@bu.edu",对传播学多角度的探究。与大多数Communication Studies项目不同的是，该项目不仅提供理论视角，还提供实践课程。学生可选择 Applied Communication Research方向，学习如何理解客户需求，并运用调研等手段解决问题。学生可从事广告、公关、国际传播等组织内的研究工作。无意从事广告、公关或应用研究的学生，还可选择Communication Studies方向，来研习传播的策略与技巧，提高口语、写作、以及计算机媒体方面的传播技能。学生可从事政府、公益组织等行业内的工作，也可进一步深造。,1.5 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Communication Experience,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,18,25.00%,,3.3,"Verbal-158,Quantitative-155",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
14,Communication,Bowling Green State University ,MA Program (Social and  Interactive Media Emphasis),M.A.,New media,Academic/Professional,College of Arts & Sciences-School of Media & Communication-Department of Communication,http://www.bgsu.edu/arts-and-sciences/media-and-communication/graduate/masters-program.html,"Chris Bloomfield, clbloomf@bgsu.edu",Academic and Professional两个方向。通过研究社会化交互媒体的社会化属性研究其策略性应用。学生还将学习社会化媒体的制作过程来更好的将知识应用于研究或实践,2 Years,,,Fall,15-Jan,$75,Statement of Purpose; Letters of recommendation (3); ,GRE,"iBT, minimum 80; IELTS, minimum 7.0",Rolling basis,Give out notifications every month,Unfixed,,6,50.0%,,School don't track,School don't track,,"$27,700","$1,200","$14,000",Fellowship and assistantship available,1910,Public,"19,408 (2013)","Bowling Green, OH",
15,Communication,Bowling Green State University ,MA Program (International/Intercultural Communication Emphasis),M.A.,Global Communication,Academic/Professional,College of Arts & Sciences-School of Media & Communication-Department of Communication,http://www.bgsu.edu/arts-and-sciences/media-and-communication/graduate/masters-program.html,"Sung-Yeon Park, Graduate Coordinator, sunpark@bgsu.edu",Academic and Professiona两个方向。通过增强对跨国界、跨文化交流环境的理解，研究如何提升国际及跨文化信息传播的有效性。,2 Years,,,Fall,15-Jan,$75,Statement of Purpose; Letters of recommendation (3); ,GRE,"iBT, minimum 80; IELTS, minimum 7.0",Rolling basis,Give out notifications every month,Unfixed,,6,50.0%,,School don't track,School don't track,,"$27,700","$1,200","$14,000",Fellowship and assistantship available,1910,Public,"19,408 (2013)","Bowling Green, OH",
16,Communication,Bowling Green State University ,PhD in Media and Communication,PhD,Communication,Academic,College of Arts & Sciences-School of Media & Communication-Department of Communication,http://www.bgsu.edu/arts-and-sciences/media-and-communication/graduate/phd-program.html,"Shai Collier, Accademic Advisor, shaic@bgsu.edu",媒体与传播方向的学术项目。研究方向包括: Global Communication; Intercultural Communication; Public Communication; Media & Society; Rhetoric; Development/Health Communication; Development Communication; Health & Wellness。学生应仔细研读研究方向及Faculty背景找到适合自己研究兴趣的项目。,4 Years,,,Fall,Dec 31 for funding,$75,Statement of Purpose; Letters of recommendation (3); ,GRE,"iBT, minimum 80; IELTS, minimum 7.0",Rolling basis,Give out notifications every month,Unfixed,,14,50.0%,,Minimum 3.2,School don't track,,"$27,700","$1,200","$14,000",Fully funded,1910,Public,"19,408 (2013)","Bowling Green, OH",
17,Communication,Carnegie Mellon University,Entertainment Industry Management,Master of Entertainment Industry Management,Management,Academic/Professional,Heiz College - School of Public Policy & Management,http://www.heinz.cmu.edu/school-of-public-policy-management/entertainment-industry-management-meim/index.aspx,hnzadmit@andrew.cmu.edu,学习娱乐产业跨媒体平台的创意、制作、营销、发行等行业新知与实践。集学术知识与行业应用于一身。第一年在Carnegie Mellon  本校学习金融管理等量化方面的商业课程；第二年学生在位于媒体中心洛杉矶的MEIM Center学习，上课的同时学生在各大媒体公司实习（每周4天）。项目教授同时也是娱乐行业的资深从业者。组织学生参加电影节及行业联谊活动。,2 Years,,,Fall,Application submitted and material postmarked by Jan 10,$0,Resume or CV; Required essay (Statement of Purpose); Letters of recommendation (3); Video essay,GRE/GMAT;,"iBT, minimum 25 for each category; IELTS, minimum 7.0 in each band",Review at one time,Decisions available from mid-March,,,27,35.00%,,School don't track,"Verbal-154, Quantitative-154, GMAT 650",,"$44,300","$1,200","$19,000","$1,200 re-location stipend are awarded to each student for moving to Los Angeles. Merit-based scholarships are available. Scholarship receipients in the first year will be granted $2500/semester for the second year of study.",1900,Private,"12,991 (2013)","Pittsburgh, PA",Urban
18,Communication,Columbia University,MS in Journalism,M.S.,Journalism,Professional,Columbia Journalism School,http://www.journalism.columbia.edu/page/85-master-of-science-degree/85,admissions@jrn.columbia.edu,General的新闻类项目。学习新闻报道、写作与新闻制作。,1 Year,,,Fall,21-Feb,$100,Resume or CV; Letters of recommendation (3); Personal essays; Writing samples,Writing test; GRE (optional),"iBT, minimum 114; IELTS, minimum 8.0",Review at one time,Decisions availablein mid-March,30.0%,,250 to 275,39.00%,,School don't track,N/A,,"$51,700","$1,200","$25,800",Scholarships are available for domestic and international studetns. The Graduate School of Journalism Scholarship Aid Application is required (available December 1). ,1754,Private,"29,250 (2013)","New York, NY",Urban
19,Communication,Columbia University,MA in Journalism,M.A.,Journalism,Professional,Columbia Journalism School,http://www.journalism.columbia.edu/page/199-master-of-arts-in-journalism/200,admissions@jrn.columbia.edu,"学生在某一选定领域深入研习新闻报道技巧。可选择的领域有：Arts & Culture; Science, Health & the Environment; Business & Economics; Politics",1 Year,,,Fall,15-Jan,$100,Resume or CV; Letters of recommendation (3); Personal essays; Writing samples,None,"iBT, minimum 114; IELTS, minimum 8.0",Review at one time,Decisions availablein mid-March,30.0%,84.00%,Around 60,50.0%,,School don't track,N/A,,"$50,900","$1,200","$25,800",Scholarships are available for domestic and international studetns. The Graduate School of Journalism Scholarship Aid Application is required (available December 1). ,1754,Private,"29,250 (2013)","New York, NY",Urban
20,Communication,Columbia University,PhD in Communication,PhD,Communication,Academic,Columbia Journalism School,http://www.journalism.columbia.edu/page/203-doctor-of-philosophy-in-communications/204,admissions@jrn.columbia.edu,"偏重于研究在文化、社会、政治、历史、经济及科技背景下，新闻、媒体与人的关系。项目注重与Columbia其他学院的跨学科交融，如the School of Arts and Sciences, School of International Affairs, the Business School, the Law School, and Teachers College.学生以此选择某一特定领域开展创新研究。",5-8 Years,,,Fall,16-Dec,$100,Resume or CV; Letters of recommendation (3); Personal essays; Academic writing samples,GRE,"iBT, minimum 114; IELTS, minimum 8.0",Review at one time,Decisions availablein mid-March,4.00%,,4,75.00%,,School don't track,School don't track,,"$51,000","$1,200","$25,800",Fully funded,1754,Private,"29,250 (2013)","New York, NY",Urban
21,Communication,Columbia University,Film Studies,M.A.,Film,Academic,School of the Arts,http://arts.columbia.edu/ma-film-studies,admissions-arts@columbia.edu,,1.5 Years,,,Fall,15-Feb,$110,Statement of Purpose; Letters of recommendation (3); Scholarly writing sample (2),None,"iBT, minimum 100",Review at one time,Decisions availablein mid-March,,,,,,,N/A,,"$44,700","$1,200","$25,800",Scholarships and fellowships are available.,1754,Private,"29,250 (2013)","New York, NY",Urban
22,Communication,Cornell University,PhD in Communication,PhD,Communication,Academic,College of Agriculture and Life Sciences - Department of Communication,http://communication.cals.cornell.edu/graduate-program,"Joanna Alario,
Graduate Program Coordinator, jca36@cornell.edu","学生在Communication领域选择某一跨学科领域开展独立研究。研究方向有：Children, Adolescents, and the Media；Communication and Public Policy； Communication of Science and Technology；Cultural and Intercultural Communication；Groups, Organizations, and Communities； Health Communication； Interactive Media Design； Media Psychology；Media, Technology, and Society；Risk and Environmental Communication；Social Influence and Persuasion；Social Networks；Technology and Social Behavior。申请者可从Faculty背景入手选择与自己兴趣相符的项目。",5 Years,,,Fall,1-Jan,$95,Resume or CV; Statement of Purpose; Letters of recommendation; Writing sample ,"GRE, minimum 300","iBT, minimum 100, with 20 on each section; IELTS, unacceptable",Review at one time,Decisions released by April 1,,63.00%,4 to 7,,,School don't track,Refer to minimum requirement,,N/A,N/A,N/A,Fully refunded,1865,Private,"21,424 (2012)","Ithaca, NY",Rural
23,Communication,Emerson College,Communication Management,M.A.,Advertising/PR,Professional,School of Communication - Department of Communication Studies,http://www.emerson.edu/academics/departments/communication-studies/graduate-degrees/communication-management,"Interim Chair, john_anderson@emerson.edu",传播类的应用类项目。学习在公司或组织内部，如何将组织的使命、远景及策略传播给组织内部及外部受众。方向有： Human Resources and Employee Communication；Public Relations and Stakeholder Communication。职业方向为：商领域业或政府部门的公共关系部门或公关公司从业者。,1.5-2 Years,,,Spring/Fall,"Srping-Nov 1, Fall-Mar 1",$60,Personal Statement; Essay (1),GRE/GMAT,"iBT, minimum 90; IELTS, minimum 7.0",,,,,,,,,School don't track,,"$23,200","$1,300","$14,600",No departmental fundings available,1880,Public,"4,200","Boston, MA",Urban
24,Communication,Emerson College,MA in Journalism,M.A.,Journalism,Professional,School of Communication - Department of Communication Studies,http://www.emerson.edu/academics/departments/journalism/graduate-degrees/journalism,"Bianca Sedillos Jiron, bianca_sedillosjiron@emerson.edu",新闻类的实践性项目。Faculty多为行业从业者，地域优势也为学生提供丰富的实践机会。,2 Years,,,Fall,1-Mar,$60,Personal Statement,GRE ,"iBT, minimum 90; IELTS, minimum 7.0",,,,,,,,,School don't track,,"$23,200","$1,300","$14,600",No departmental fundings available,1880,Public,"4,200","Boston, MA",Urban
25,Communication,Emerson College,"Global Marketing Communication & Advertising
",M.A.,Advertising/PR,Professional,School of Communication-Department of Marketing Communication,http://www.emerson.edu/academics/departments/marketing-communication/graduate-degrees/global-marketing-communication-advertising,"Graduate Program Director ,  Thomas Vogel, Thomas_Vogel@emerson.edu",着眼于全球化品牌传播策略的实践类项目。在全球化的背景下，如何制定营销传播策略，打造品牌形象、传播品牌内涵。职业方向为国际传播或广告公司的客户管理、营销、公关、品牌管理、电子商务等。,1 Year,,,Fall,1-Mar,$60,Personal Statement; Essay (2),GRE/GMAT,"iBT, minimum 90; IELTS, minimum 7.0",,,45.00%,,30 to 36,50.0%,,3.4,School don't track,,"$23,200","$1,300","$14,600",No departmental fundings available,1880,Public,"4,200","Boston, MA",Urban
26,Communication,Emerson College,Integrated Marketing Communication,M.A.,Advertising/PR,Professional,School of Communication-Department of Marketing Communication,http://www.emerson.edu/academics/departments/marketing-communication/graduate-degrees/integrated-marketing-communication,"Camille Bouknight, Camille_bouknight@emerson.edu",整合营销传播的实践类项目。课程强调创意思维、写作、营销推广、金融及品牌管理。适合从事营销及广告、公关类工作。,2 Years,,,Spring/Fall,"Srping-Nov 1, Fall-Mar 1",$60,Personal Statement,GRE/GMAT,"iBT, minimum 90; IELTS, minimum 7.0",,,30.0%,,"60 to 70 for Fall, 17 to 20 for Summer",65.00%,20.0%,School don't track,School don't track,,"$23,200","$1,300","$14,600",No departmental fundings available,1880,Public,"4,200","Boston, MA",Urban
27,Communication,Emory University,Film and Media Studies ,M.A.,Media,Academic,Emory College of Arts & Sciences - Department of Film and Media Studies,http://filmstudies.emory.edu/home/graduate/masters-program/index.html,"Gary Fessenden
Academic Department Administrator, gfessen@emory.edu",研习电影及其他媒体的历史、评论等理论研究项目。将电影及媒体作为一种文化形式，研究已有的哲学、美学方面的理论及多样观点，从而帮助学生建立关于电影及媒体的独立思考及分析能力。,2 Years,,,Fall,3-Jan,$75,"Statement of Purpose, Letters of recommendation (3), Writing samples (2); ","GRE, minimum, 2 sections over 50%",ASK DEPT,Review at one time,Decisions are available in early April,27.00%,,,,,,Refer to minimum requirement,,"$41,000","$1,200","$18,000",Scholarships and fellowships are available.,1836,Private,"14,513 (2013)","Atlanta, GA",College Town
28,Communication,Florida State University,MA in Integrated Marketing Communication ,M. A.,Advertising/PR,Professional,School of Communication,http://comm.cci.fsu.edu/graduate-programs/masters-in-imc/,"Natashia Hinson-Turner, Natashia.Turner@cci.fsu.edu",整营销传播类的实践项目。学习数字营销技术、策略沟通、营销与传播计划、广告、公关及应用研究，适合致力于从事广告、公关、数字媒体营销、整合营销传播方面工作的申请者。三个学习方向：Integrated Marketing Communication; Hispanic Marketing Communication;Digital Marketing Communication,2 Years,,,Fall/Spring/Summer,Fall-Feb 1; Spring-Sep 1; Summer-Mar 1,$30,Resume or CV; Statement of Purpose; Letters of recommendation (3),"GRE, minimum Verbal-148, Quantitative-144","iBT, minimum 100; IELTS, minimum 7.0",Rolling basis,Decisions available in 3 - 4 weeks,,,,30.0%,,School don't track,Refer to minimum requirement,,"$20,000","$1,200","$18,000","Merit-based scholarships and assistanships available, no separate application needed",1851,Public,"41,477 (2013)","Tallahassee, FL",College Town
29,Communication,Florida State University,MA in Media and Communication Studies ,M.A.,Communication,Academic,School of Communication,http://comm.cci.fsu.edu/graduate-programs/masters-in-mcs/,"Natashia Hinson-Turner, Natashia.Turner@cci.fsu.edu",媒体与传播方向的理论项目。学习社会环境中的传播沟通，包括传播理论、研究、分析、媒体内容及其影响。适合有意继续深造或在媒体、传播、政府或公共事业领域从业的申请者。,2 Years,,,Fall/Spring/Summer,Fall-Feb 1; Spring-Sep 1; Summer-Mar 0,$30,Resume or CV; Statement of Purpose; Letters of recommendation (3),"GRE, minimum Verbal-148, Quantitative-144","iBT, minimum 100; IELTS, minimum 7.0",Rolling basis,Decisions available in 3 - 4 weeks,,,,30.0%,,School don't track,Refer to minimum requirement,,"$20,000","$1,200","$18,000","Merit-based scholarships and assistanships available, no separate application needed",1851,Public,"41,477 (2013)","Tallahassee, FL",College Town
30,Communication,Florida State University,PhD in Communication,PhD,Communication,Academic,School of Communication,http://comm.cci.fsu.edu/graduate-programs/ph-d-in-communication/,"Betsy Crawford, betsy.crawford@cci.fsu.edu",偏重Communication Theory and Research的学术项目。首先从理论、哲学及研究方法的角度研习传播学理论，使得学生建立坚实的评论、历史及理论的传播学基础，并能够深入理解某一特定研究问题的复杂性及与其他话题的交互性，为自己研究领域的研究工作做准备。重点方向为：Media studies;Cultural and rhetorical studies; Marketing communication. ,4 Years,,,Fall/Spring/Summer,Fall-Feb 1; Spring-Sep 1; Summer-Mar 1,$30,Resume or CV; Statement of Purpose; Letters of recommendation (3),"GRE, minimum Verbal-150, Quantitative-147","iBT, minimum 100; IELTS, minimum 7.0",Rolling basis,Decisions available in 3 - 4 weeks,10.0%,,3 to 5,30.0%,,School don't track,Refer to minimum requirement,,"$20,000","$1,200","$18,000","Merit-based scholarships and assistanships available, no separate application needed",1851,Public,"41,477 (2013)","Tallahassee, FL",College Town
31,Communication,Fordham University ,Public Communication,M.A.,Communication,,Department of Communication and Media Studies,http://www.fordham.edu/academics/programs_at_fordham_/communication_and_me/graduate_program_in_/index.asp,"Dr. Amy Aronson, Graduate Chair: amaronson@fordham.edu","研究方向: Media Theory and Criticism
Industries; Publics & Policies; Screen Arts & Cultures. ",2 Years,,,,,$70,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample ,GRE,,Review at one time,Decisions available at mid February,56.00%,,33,,,3.4,"Verbal-580, Quantitative-670, Writing-4.5",,"$22,500","$1,200","$16,000",Fundings available.,1841,Private,"15,170 (2012)","New York, NY",Urban
